Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness,Morphessor_Scores,Reading_Time,Accuracy
afalt,N,5,"['af', 'alt']",1,0.6,22.42,558.3,1.0
afas,N,4,"['af', 'as']",1,0.5,20.79,561.63,1.0
afed,N,4,"['af', 'ed']",1,0.5,19.49,564.97,1.0
afel,N,4,"['a', 'fel']",1,0.5,19.65,537.61,0.97
afept,N,5,"['a', 'fe', 'pt']",2,0.4,29.03,562.97,0.98
afepts,N,6,"['af', 'ep', 'ts']",2,0.5,33.07,539.28,1.0
aferes,N,6,"['a', 'fer', 'es']",2,0.5,27.05,535.23,0.98
aferned,N,7,"['af', 'ern', 'ed']",2,0.57,29.87,647.56,0.98
afes,N,4,"['af', 'es']",1,0.5,19.96,561.44,1.0
affeal,N,6,"['aff', 'e', 'al']",2,0.5,26.12,664.11,0.92
affecks,N,7,"['aff', 'ec', 'ks']",2,0.57,33.41,721.91,0.87
affelts,N,7,"['af', 'felt', 's']",2,0.57,30.13,548.22,1.0
affends,N,7,"['aff', 'end', 's']",2,0.57,26.54,697.44,0.75
afflane,N,7,"['aff', 'lane']",1,0.71,23.72,614.0,0.89
afflarts,N,8,"['aff', 'lar', 'ts']",2,0.62,34.23,618.05,1.0
affolds,N,7,"['aff', 'old', 's']",2,0.57,27.79,713.03,0.84
affope,N,6,"['aff', 'ope']",1,0.67,23.72,564.15,1.0
afforts,N,7,"['af', 'fort', 's']",2,0.57,28.4,763.75,0.8
affranes,N,8,"['aff', 'ran', 'es']",2,0.62,30.41,616.7,0.97
affrins,N,7,"['aff', 'rins']",1,0.71,23.49,652.88,1.0
affrows,N,7,"['aff', 'row', 's']",2,0.57,27.98,617.69,0.95
affug,N,5,"['aff', 'ug']",1,0.6,24.0,537.75,1.0
affund,N,6,"['af', 'fund']",1,0.67,21.22,633.97,1.0
affurned,N,8,"['af', 'furn', 'ed']",2,0.62,31.16,609.81,0.98
affuse,N,6,"['aff', 'use']",1,0.67,21.81,670.44,0.79
affuth,N,6,"['aff', 'u', 'th']",2,0.5,28.7,555.85,1.0
afia,N,4,"['afi', 'a']",1,0.5,20.34,612.31,0.97
afoins,N,6,"['a', 'fo', 'ins']",2,0.5,28.9,557.78,1.0
afoods,N,6,"['a', 'food', 's']",2,0.5,24.32,585.03,1.0
afoys,N,5,"['a', 'fo', 'ys']",2,0.4,29.59,547.24,0.98
afress,N,6,"['af', 'ress']",1,0.67,22.68,582.28,1.0
afrome,N,6,"['a', 'from', 'e']",2,0.5,25.41,592.1,1.0
afrons,N,6,"['af', 'ron', 's']",2,0.5,28.75,691.6,0.9
afrorm,N,6,"['a', 'fr', 'or', 'm']",3,0.33,34.2,655.62,0.98
afstint,N,7,"['af', 'stint']",1,0.71,23.89,532.1,1.0
aftus,N,5,"['af', 'tu', 's']",2,0.4,27.68,545.38,1.0
agbuct,N,6,"['ag', 'buc', 't']",2,0.5,29.63,602.06,0.95
agelier,N,7,"['age', 'li', 'er']",2,0.57,26.63,736.78,1.0
agemess,N,7,"['age', 'mess']",1,0.71,20.78,679.68,1.0
agfor,N,5,"['ag', 'for']",1,0.6,18.81,548.95,1.0
agfors,N,6,"['ag', 'for', 's']",2,0.5,25.05,539.55,1.0
aggect,N,6,"['ag', 'gec', 't']",2,0.5,29.63,596.92,1.0
aggess,N,6,"['ag', 'g', 'ess']",2,0.5,28.88,591.85,0.92
aggey,N,5,"['ag', 'ge', 'y']",2,0.4,26.97,626.95,1.0
aggeys,N,6,"['ag', 'ge', 'ys']",2,0.5,30.84,551.78,1.0
aggraimed,N,9,"['ag', 'gra', 'im', 'ed']",3,0.56,37.15,658.58,1.0
aggraims,N,8,"['ag', 'gra', 'im', 's']",3,0.5,35.61,643.46,1.0
aggrues,N,7,"['ag', 'g', 'ru', 'es']",3,0.43,36.23,679.75,0.95
aghect,N,6,"['ag', 'hect']",1,0.67,21.71,544.65,1.0
aghonced,N,8,"['agh', 'once', 'd']",2,0.62,30.36,560.95,1.0
agift,N,5,"['a', 'gift']",1,0.6,18.96,652.38,0.97
agims,N,5,"['ag', 'im', 's']",2,0.4,25.23,550.95,1.0
agincts,N,7,"['ag', 'inc', 'ts']",2,0.57,31.87,595.9,1.0
agive,N,5,"['a', 'give']",1,0.6,19.36,644.72,1.0
agix,N,4,"['ag', 'ix']",1,0.5,21.31,577.87,1.0
agler,N,5,"['ag', 'ler']",1,0.6,21.9,639.49,0.97
agok,N,4,"['ago', 'k']",1,0.5,19.77,573.68,0.97
agope,N,5,"['ag', 'ope']",1,0.6,22.12,599.38,0.98
agright,N,7,"['ag', 'right']",1,0.71,18.97,693.71,1.0
agshess,N,7,"['ag', 'sh', 'ess']",2,0.57,29.89,600.73,1.0
agstess,N,7,"['ag', 'st', 'ess']",2,0.57,29.43,587.44,0.98
agtrain,N,7,"['ag', 'train']",1,0.71,20.01,625.95,1.0
agtrained,N,9,"['ag', 'train', 'ed']",2,0.67,27.79,650.52,1.0
agur,N,4,"['ag', 'ur']",1,0.5,19.79,618.79,0.85
ahoits,N,6,"['a', 'ho', 'its']",2,0.5,29.1,565.43,1.0
ahokes,N,6,"['ah', 'oke', 's']",2,0.5,29.18,611.37,1.0
ahor,N,4,"['a', 'hor']",1,0.5,19.25,606.63,0.95
ahord,N,5,"['a', 'hord']",1,0.6,20.06,611.81,0.98
ahords,N,6,"['a', 'hord', 's']",2,0.5,26.3,612.18,0.95
ahries,N,6,"['ah', 'ri', 'es']",2,0.5,28.53,555.47,1.0
ahun,N,4,"['ah', 'un']",1,0.5,18.17,585.02,1.0
aice,N,4,"['a', 'ice']",1,0.5,18.88,611.17,1.0
aices,N,5,"['ai', 'ces']",1,0.6,24.21,599.32,1.0
aicipes,N,7,"['ai', 'cip', 'es']",2,0.57,32.17,566.43,0.97
aier,N,4,"['ai', 'er']",1,0.5,19.22,563.76,1.0
aight,N,5,"['a', 'igh', 't']",2,0.4,27.06,728.25,0.95
aights,N,6,"['a', 'igh', 'ts']",2,0.5,30.91,694.39,0.92
ailpay,N,6,"['ail', 'pay']",1,0.67,22.24,612.08,1.0
ailpays,N,7,"['ail', 'pay', 's']",2,0.57,28.49,682.45,1.0
ainfogue,N,8,"['a', 'info', 'gu', 'e']",3,0.5,35.93,602.15,1.0
ainlibes,N,8,"['a', 'in', 'lib', 'es']",3,0.5,34.44,568.58,1.0
ains,N,4,"['a', 'ins']",1,0.5,18.8,637.21,0.95
aints,N,5,"['a', 'int', 's']",2,0.4,24.8,655.97,0.92
aipse,N,5,"['a', 'ip', 'se']",2,0.4,27.97,559.0,0.95
aipsed,N,6,"['a', 'ip', 'sed']",2,0.5,29.61,597.47,1.0
airclaps,N,8,"['air', 'clap', 's']",2,0.62,28.03,679.23,0.9
airclime,N,8,"['air', 'clim', 'e']",2,0.62,28.98,638.74,1.0
airclimes,N,9,"['air', 'clim', 'es']",2,0.67,30.55,656.49,0.97
airclip,N,7,"['air', 'clip']",1,0.71,21.61,784.29,0.66
aircul,N,6,"['air', 'cul']",1,0.67,20.91,662.92,1.0
airdess,N,7,"['air', 'des', 's']",2,0.57,26.75,707.68,0.95
airdraw,N,7,"['air', 'draw']",1,0.71,19.87,703.65,0.8
airdraws,N,8,"['air', 'draw', 's']",2,0.62,26.12,751.83,0.79
airflails,N,9,"['air', 'flai', 'l', 's']",3,0.56,36.25,713.84,1.0
airflift,N,8,"['airf', 'lift']",1,0.75,23.69,937.0,0.45
airgroin,N,8,"['air', 'gro', 'in']",2,0.62,27.83,659.52,1.0
airguild,N,8,"['air', 'guild']",1,0.75,22.3,767.89,0.95
airguilds,N,9,"['air', 'guild', 's']",2,0.67,28.55,763.82,0.92
airn,N,4,"['air', 'n']",1,0.5,17.91,619.61,1.0
airnos,N,6,"['air', 'no', 's']",2,0.5,24.87,612.5,1.0
airplop,N,7,"['air', 'p', 'lop']",2,0.57,29.07,708.31,0.92
airshall,N,8,"['air', 's', 'hall']",2,0.62,26.6,670.08,0.95
airsouth,N,8,"['air', 'south']",1,0.75,20.14,660.35,0.98
airstares,N,9,"['air', 'star', 'es']",2,0.67,27.37,713.22,0.95
airstash,N,8,"['air', 'sta', 'sh']",2,0.62,29.29,757.75,0.97
airstay,N,7,"['air', 'stay']",1,0.71,20.63,848.55,0.82
airstrums,N,9,"['air', 'stru', 'ms']",2,0.67,32.66,747.12,0.88
aistnale,N,8,"['a', 'ist', 'na', 'le']",3,0.5,35.52,578.13,1.0
aists,N,5,"['a', 'ist', 's']",2,0.4,23.56,575.38,1.0
aiths,N,5,"['ai', 'th', 's']",2,0.4,26.97,538.42,1.0
aits,N,4,"['a', 'its']",1,0.5,19.65,564.78,0.97
aive,N,4,"['a', 'ive']",1,0.5,18.22,607.36,0.99
aives,N,5,"['a', 'ives']",1,0.6,20.06,579.05,0.97
aize,N,4,"['a', 'ize']",1,0.5,18.31,588.67,1.0
ajeqous,N,7,"['aj', 'e', 'q', 'ous']",3,0.43,39.84,623.05,1.0
ajoin,N,5,"['a', 'join']",1,0.6,18.55,751.89,0.48
akcul,N,5,"['ak', 'cul']",1,0.6,21.63,535.18,0.98
akde,N,4,"['ak', 'de']",1,0.5,18.68,536.4,1.0
akes,N,4,"['ak', 'es']",1,0.5,19.09,599.85,1.0
akhs,N,4,"['a', 'kh', 's']",2,0.25,25.39,571.72,0.98
akrade,N,6,"['a', 'kra', 'de']",2,0.5,27.5,620.92,1.0
alade,N,5,"['ala', 'de']",1,0.6,19.67,621.54,0.98
alamp,N,5,"['a', 'lamp']",1,0.6,19.25,595.78,1.0
alap,N,4,"['al', 'ap']",1,0.5,19.08,638.0,0.92
alaves,N,6,"['al', 'ave', 's']",2,0.5,27.07,570.77,0.98
alawn,N,5,"['a', 'lawn']",1,0.6,19.14,629.32,1.0
albole,N,6,"['al', 'bol', 'e']",2,0.5,26.49,588.13,1.0
albolls,N,7,"['al', 'boll', 's']",2,0.57,27.36,539.05,0.98
albust,N,6,"['al', 'bust']",1,0.67,19.22,637.22,1.0
alcas,N,5,"['al', 'cas']",1,0.6,19.65,591.81,1.0
alcimin,N,7,"['al', 'ci', 'min']",2,0.57,28.81,624.42,1.0
alcirans,N,8,"['al', 'ci', 'ran', 's']",3,0.5,36.39,591.08,1.0
aldims,N,6,"['al', 'dim', 's']",2,0.5,26.38,610.92,1.0
alesray,N,7,"['al', 'es', 'ray']",2,0.57,27.63,669.79,1.0
alfives,N,7,"['al', 'five', 's']",2,0.57,24.22,597.56,1.0
alfpard,N,7,"['al', 'fp', 'ard']",2,0.57,30.63,579.25,1.0
aliels,N,6,"['ali', 'els']",1,0.67,24.54,633.25,0.97
alked,N,5,"['al', 'k', 'ed']",2,0.4,24.72,562.19,0.97
alkoe,N,5,"['al', 'ko', 'e']",2,0.4,25.45,548.03,1.0
alks,N,4,"['al', 'ks']",1,0.5,20.83,543.77,0.97
allaced,N,7,"['all', 'ac', 'ed']",2,0.57,26.27,691.08,0.95
allahed,N,7,"['all', 'ah', 'ed']",2,0.57,27.35,558.6,1.0
allald,N,6,"['all', 'ald']",1,0.67,20.41,534.65,1.0
allaled,N,7,"['all', 'al', 'ed']",2,0.57,25.02,632.11,0.97
allape,N,6,"['all', 'ape']",1,0.67,20.82,619.61,1.0
allaps,N,6,"['al', 'laps']",1,0.67,20.13,565.08,0.95
allar,N,5,"['all', 'ar']",1,0.6,18.37,681.68,0.92
alldess,N,7,"['all', 'des', 's']",2,0.57,26.25,595.15,1.0
alldets,N,7,"['all', 'de', 'ts']",2,0.57,28.55,593.58,1.0
allim,N,5,"['all', 'im']",1,0.6,18.38,611.68,0.97
allint,N,6,"['all', 'int']",1,0.67,20.01,597.11,1.0
allired,N,7,"['alli', 'red']",1,0.71,21.52,610.13,1.0
allob,N,5,"['al', 'lob']",1,0.6,20.27,548.62,1.0
allops,N,6,"['all', 'op', 's']",2,0.5,25.81,605.55,0.98
allou,N,5,"['all', 'ou']",1,0.6,19.18,575.22,1.0
allound,N,7,"['all', 'o', 'und']",2,0.57,27.38,736.34,0.98
allsit,N,6,"['all', 'sit']",1,0.67,20.26,610.6,0.92
allye,N,5,"['ally', 'e']",1,0.6,17.95,548.11,1.0
almed,N,5,"['al', 'med']",1,0.6,18.99,629.41,0.92
almstreck,N,9,"['al', 'm', 'st', 'reck']",3,0.56,36.68,588.5,1.0
aloid,N,5,"['al', 'oid']",1,0.6,19.57,598.19,0.97
aloiled,N,7,"['al', 'oil', 'ed']",2,0.57,26.95,665.46,1.0
alolds,N,6,"['al', 'old', 's']",2,0.5,24.9,575.63,1.0
alord,N,5,"['al', 'ord']",1,0.6,19.91,688.0,0.88
aloss,N,5,"['a', 'loss']",1,0.6,19.25,713.58,0.92
alped,N,5,"['al', 'ped']",1,0.6,19.91,659.52,0.78
alpen,N,5,"['al', 'pen']",1,0.6,19.73,685.0,0.28
alping,N,6,"['alp', 'ing']",1,0.67,20.24,738.93,0.8
alsehorts,N,9,"['al', 'se', 'hor', 'ts']",3,0.56,40.32,659.28,1.0
alspouch,N,8,"['al', 's', 'pouch']",2,0.62,27.36,632.0,1.0
alsund,N,6,"['al', 'sund']",1,0.67,20.6,571.95,1.0
alsunds,N,7,"['al', 'sund', 's']",2,0.57,26.85,583.06,1.0
althos,N,6,"['alt', 'hos']",1,0.67,23.7,598.7,0.95
altzed,N,6,"['al', 'tz', 'ed']",2,0.5,27.69,601.24,0.99
alvim,N,5,"['al', 'vi', 'm']",2,0.4,26.18,556.29,1.0
alylls,N,6,"['al', 'y', 'lls']",2,0.5,28.97,597.11,1.0
amape,N,5,"['am', 'ape']",1,0.6,21.19,645.57,1.0
amately,N,7,"['ama', 'tely']",1,0.71,23.36,711.4,1.0
amaus,N,5,"['ama', 'us']",1,0.6,21.23,555.63,0.98
ambent,N,6,"['am', 'bent']",1,0.67,21.19,731.06,0.88
ambents,N,7,"['am', 'bent', 's']",2,0.57,27.44,686.19,0.84
ambert,N,6,"['amb', 'ert']",1,0.67,23.04,646.46,1.0
amberts,N,7,"['amb', 'ert', 's']",2,0.57,29.29,626.84,0.98
ambess,N,6,"['amb', 'ess']",1,0.67,23.69,633.65,1.0
ambessed,N,8,"['amb', 'ess', 'ed']",2,0.62,31.47,750.31,0.95
ambets,N,6,"['am', 'bet', 's']",2,0.5,27.03,640.11,0.92
ambic,N,5,"['ambi', 'c']",1,0.6,20.68,645.06,0.9
ambind,N,6,"['am', 'bind']",1,0.67,20.97,637.85,1.0
ambs,N,4,"['amb', 's']",1,0.5,19.06,623.95,1.0
amcars,N,6,"['am', 'car', 's']",2,0.5,25.42,565.51,0.98
amed,N,4,"['am', 'ed']",1,0.5,17.78,662.93,0.91
ameg,N,4,"['am', 'eg']",1,0.5,20.38,559.24,0.98
ameshed,N,7,"['a', 'mesh', 'ed']",2,0.57,27.84,650.8,0.87
amett,N,5,"['am', 'ett']",1,0.6,20.27,593.37,1.0
amhance,N,7,"['am', 'h', 'ance']",2,0.57,28.18,718.68,1.0
amho,N,4,"['am', 'ho']",1,0.5,19.44,561.76,0.97
amiance,N,7,"['ami', 'ance']",1,0.71,21.43,728.35,0.85
amias,N,5,"['ami', 'as']",1,0.6,21.05,635.23,0.98
amibed,N,6,"['ami', 'bed']",1,0.67,22.14,596.31,0.98
amion,N,5,"['am', 'ion']",1,0.6,18.11,608.54,0.98
amiques,N,7,"['ami', 'ques']",1,0.71,23.29,653.16,0.92
amise,N,5,"['ami', 'se']",1,0.6,21.19,671.32,0.84
amives,N,6,"['am', 'ives']",1,0.67,21.88,573.39,1.0
amler,N,5,"['am', 'ler']",1,0.6,21.66,624.66,1.0
amlers,N,6,"['am', 'ler', 's']",2,0.5,27.91,625.78,1.0
amlo,N,4,"['am', 'lo']",1,0.5,19.46,535.15,1.0
amlos,N,5,"['am', 'los']",1,0.6,21.88,547.74,1.0
ammedes,N,7,"['am', 'med', 'es']",2,0.57,28.3,639.64,0.98
ammet,N,5,"['am', 'met']",1,0.6,20.13,603.97,1.0
ammete,N,6,"['am', 'met', 'e']",2,0.5,26.81,643.55,0.98
ammict,N,6,"['am', 'mic', 't']",2,0.5,29.11,557.13,1.0
amna,N,4,"['am', 'na']",1,0.5,19.56,559.76,0.98
amning,N,6,"['am', 'ning']",1,0.67,21.66,618.1,1.0
amns,N,4,"['am', 'ns']",1,0.5,21.88,604.54,1.0
amom,N,4,"['a', 'mom']",1,0.5,19.14,694.59,0.98
amoubt,N,6,"['amo', 'ub', 't']",2,0.5,30.51,636.31,0.98
