Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness,Morphessor_Scores,Reading_Time,Accuracy
afdrook,N,7,"['afd', 'rook']",1,0.71,21.81,686.81,0.9
afes,N,4,"['af', 'es']",1,0.5,17.75,576.65,0.97
afgas,N,5,"['af', 'gas']",1,0.6,16.45,772.74,0.87
afhoen,N,6,"['af', 'ho', 'en']",2,0.5,23.31,628.55,1.0
afhoer,N,6,"['af', 'hoer']",1,0.67,18.94,685.88,0.92
afmoer,N,6,"['af', 'moer']",1,0.67,19.26,654.31,0.95
afmorst,N,7,"['af', 'mor', 'st']",2,0.57,25.22,648.33,0.9
afschef,N,7,"['afs', 'chef']",1,0.71,21.81,706.43,0.9
aftacht,N,7,"['af', 't', 'acht']",2,0.57,23.55,677.84,0.95
aftad,N,5,"['af', 't', 'ad']",2,0.4,24.08,645.78,0.95
aftijn,N,6,"['af', 't', 'ijn']",2,0.5,24.54,620.82,1.0
afuun,N,5,"['af', 'u', 'un']",2,0.4,25.75,558.21,1.0
afwers,N,6,"['afw', 'ers']",1,0.67,20.25,673.08,1.0
ag,N,2,['ag'],0,0.5,11.63,588.87,1.0
aghu,N,4,"['ag', 'hu']",1,0.5,21.75,536.41,1.0
aghu's,N,6,"['ag', 'hu', ""'s""]",2,0.5,32.05,560.44,1.0
agi,N,3,['agi'],0,0.67,12.14,561.87,0.97
ahs,N,3,"['ah', 's']",1,0.33,18.24,550.0,1.0
aillan,N,6,"['a', 'ill', 'an']",2,0.5,27.24,585.59,1.0
ain,N,3,['ain'],0,0.67,12.26,569.92,1.0
ak,N,2,['ak'],0,0.5,12.73,639.78,0.95
ake,N,3,"['a', 'ke']",1,0.33,17.28,612.61,0.97
akhums,N,6,"['ak', 'hum', 's']",2,0.5,30.33,583.44,1.0
akind,N,5,"['a', 'kind']",1,0.6,18.41,563.89,1.0
akkeeld,N,7,"['akk', 'eel', 'd']",2,0.57,28.82,594.95,1.0
akkent,N,6,"['akk', 'ent']",1,0.67,21.95,620.95,0.97
akloop,N,6,"['ak', 'loop']",1,0.67,21.44,609.03,1.0
akse,N,4,"['aks', 'e']",1,0.5,19.16,638.44,1.0
akter,N,5,"['akt', 'er']",1,0.6,18.15,697.32,0.92
akwal,N,5,"['ak', 'wal']",1,0.6,22.52,576.24,0.97
alars,N,5,"['ala', 'rs']",1,0.6,24.05,634.65,0.95
albecht,N,7,"['al', 'be', 'cht']",2,0.57,25.69,648.26,0.97
alde,N,4,"['al', 'de']",1,0.5,17.1,572.21,1.0
aldenkt,N,7,"['al', 'denk', 't']",2,0.57,24.8,659.87,1.0
alders,N,6,"['al', 'ders']",1,0.67,20.16,661.03,1.0
aldes,N,5,"['al', 'des']",1,0.6,19.28,594.66,0.97
aleem,N,5,"['al', 'eem']",1,0.6,21.36,550.95,0.97
alerf,N,5,"['al', 'erf']",1,0.6,19.03,633.87,1.0
alfaar,N,6,"['alfa', 'ar']",1,0.67,22.17,668.39,0.97
alfjaar,N,7,"['al', 'f', 'jaar']",2,0.57,25.79,730.95,1.0
algang,N,6,"['al', 'gang']",1,0.67,18.35,641.32,0.9
algel,N,5,"['al', 'gel']",1,0.6,19.28,600.37,1.0
algoei,N,6,"['al', 'goei']",1,0.67,20.85,591.84,0.97
alhom,N,5,"['al', 'h', 'om']",2,0.4,25.03,611.18,1.0
almeid,N,6,"['al', 'mei', 'd']",2,0.5,25.81,614.39,1.0
almes,N,5,"['al', 'mes']",1,0.6,21.08,624.59,1.0
alteems,N,7,"['alt', 'eem', 's']",2,0.57,29.83,640.55,0.97
altisch,N,7,"['al', 'tisch']",1,0.71,19.24,726.17,0.92
alvang,N,6,"['al', 'vang']",1,0.67,19.0,702.24,0.97
alve,N,4,"['al', 've']",1,0.5,18.7,600.18,1.0
alvier,N,6,"['al', 'vier']",1,0.67,18.21,693.83,0.97
ambtaan,N,7,"['ambt', 'aan']",1,0.71,18.91,756.38,1.0
ame,N,3,"['am', 'e']",1,0.33,16.62,695.44,0.95
amfer,N,5,"['am', 'fer']",1,0.6,21.62,615.53,0.92
amliep,N,6,"['am', 'liep']",1,0.67,20.7,616.22,0.95
amme,N,4,"['am', 'me']",1,0.5,18.83,618.56,1.0
ammer,N,5,"['am', 'mer']",1,0.6,20.32,621.11,0.92
amnaan,N,6,"['am', 'n', 'aan']",2,0.5,24.91,661.33,1.0
amoen,N,5,"['a', 'mo', 'en']",2,0.4,24.03,562.97,1.0
ampkrag,N,7,"['amp', 'kra', 'g']",2,0.57,29.54,583.59,1.0
ampkrig,N,7,"['amp', 'kr', 'ig']",2,0.57,30.6,667.19,1.0
amplaas,N,7,"['amp', 'laa', 's']",2,0.57,28.83,632.15,1.0
ampland,N,7,"['amp', 'land']",1,0.71,20.17,587.74,0.97
amret,N,5,"['am', 're', 't']",2,0.4,24.5,554.26,1.0
ams,N,3,"['am', 's']",1,0.33,16.39,600.85,1.0
amschaak,N,8,"['am', 'schaak']",1,0.75,20.93,646.32,1.0
amslaan,N,7,"['am', 'slaan']",1,0.71,20.93,704.92,0.97
amstuk,N,6,"['am', 'stuk']",1,0.67,19.75,718.26,1.0
amtrand,N,7,"['am', 't', 'rand']",2,0.57,26.5,624.1,1.0
amvocht,N,7,"['am', 'vocht']",1,0.71,20.64,610.62,1.0
anam,N,4,"['ana', 'm']",1,0.5,18.57,584.54,1.0
anda,N,4,['anda'],0,0.75,12.39,591.95,1.0
andang,N,6,"['and', 'ang']",1,0.67,22.4,596.74,1.0
andicht,N,7,"['an', 'dicht']",1,0.71,18.84,585.74,1.0
andooi,N,6,"['an', 'dooi']",1,0.67,20.97,590.79,1.0
andos,N,5,"['ando', 's']",1,0.6,18.53,562.9,1.0
anen,N,4,"['an', 'en']",1,0.5,16.13,626.58,0.97
anghoord,N,8,"['ang', 'hoord']",1,0.75,23.2,633.21,1.0
anghoordt,N,9,"['ang', 'hoord', 't']",2,0.67,29.84,638.79,1.0
angrans,N,7,"['ang', 'rans']",1,0.71,23.79,613.73,1.0
angstzwaam,N,10,"['angst', 'zwa', 'am']",2,0.7,30.25,825.43,0.92
angszee,N,7,"['ang', 's', 'zee']",2,0.57,26.98,632.7,1.0
angt,N,4,"['ang', 't']",1,0.5,19.03,784.5,0.36
annast,N,6,"['an', 'na', 'st']",2,0.5,25.29,584.46,1.0
annue,N,5,"['ann', 'ue']",1,0.6,22.9,670.65,1.0
anpo,N,4,"['an', 'po']",1,0.5,19.13,560.79,1.0
anre,N,4,"['an', 're']",1,0.5,17.36,577.33,1.0
anren,N,5,"['an', 'ren']",1,0.6,19.97,595.74,1.0
ansels,N,6,"['anse', 'ls']",1,0.67,22.76,594.97,1.0
antrog,N,6,"['an', 'trog']",1,0.67,21.3,551.59,0.97
antsteel,N,8,"['ant', 'steel']",1,0.75,21.78,604.73,0.97
anveen,N,6,"['an', 'veen']",1,0.67,21.3,588.95,0.97
anver,N,5,"['an', 'ver']",1,0.6,15.87,612.29,1.0
anwaar,N,6,"['an', 'waar']",1,0.67,18.52,634.74,1.0
anwin,N,5,"['an', 'win']",1,0.6,19.82,595.32,0.97
anzecht,N,7,"['an', 'z', 'echt']",2,0.57,28.12,615.66,1.0
anzert,N,6,"['an', 'z', 'ert']",2,0.5,28.43,623.21,1.0
anzucht,N,7,"['an', 'zucht']",1,0.71,20.21,697.54,0.97
ap,N,2,['ap'],0,0.5,11.77,639.73,0.95
apaan,N,5,"['ap', 'aan']",1,0.6,18.75,582.32,1.0
apel,N,4,"['a', 'pel']",1,0.5,18.67,713.93,0.74
apers,N,5,"['a', 'pers']",1,0.6,17.33,663.94,0.92
apgels,N,6,"['ap', 'gel', 's']",2,0.5,27.59,603.43,0.97
apneet,N,6,"['ap', 'nee', 't']",2,0.5,28.65,590.79,1.0
apos,N,4,"['a', 'pos']",1,0.5,18.94,591.7,0.97
appen,N,5,"['app', 'en']",1,0.6,16.5,655.63,0.95
appes,N,5,"['app', 'es']",1,0.6,19.7,628.28,1.0
appis,N,5,"['app', 'is']",1,0.6,18.72,574.23,1.0
aps,N,3,"['ap', 's']",1,0.33,17.76,583.0,0.95
apteer,N,6,"['ap', 'teer']",1,0.67,22.83,632.0,1.0
aptiem,N,6,"['ap', 'tie', 'm']",2,0.5,27.49,616.18,1.0
ard,N,3,['ard'],0,0.67,12.95,570.33,1.0
ardaak,N,6,"['ard', 'aak']",1,0.67,24.57,570.95,0.97
arder,N,5,"['ar', 'der']",1,0.6,18.94,653.89,1.0
ardeur,N,6,"['ar', 'deur']",1,0.67,19.4,596.75,1.0
ardog,N,5,"['ardo', 'g']",1,0.6,20.12,599.5,1.0
arf,N,3,"['ar', 'f']",1,0.33,17.93,629.5,1.0
arkee,N,5,"['a', 'rkee']",1,0.6,20.81,589.77,1.0
arkweef,N,7,"['ar', 'k', 'weef']",2,0.57,28.54,598.08,1.0
armers,N,6,"['arm', 'ers']",1,0.67,18.72,855.54,0.74
arnast,N,6,"['ar', 'na', 'st']",2,0.5,25.65,622.33,1.0
arnient,N,7,"['ar', 'ni', 'ent']",2,0.57,28.92,598.58,1.0
arrijd,N,6,"['ar', 'rijd']",1,0.67,19.66,594.13,0.97
arschrift,N,9,"['ar', 'schrif', 't']",2,0.67,27.34,630.47,0.97
arschrikt,N,9,"['ar', 'schrik', 't']",2,0.67,27.51,673.71,1.0
arsel,N,5,"['ar', 'sel']",1,0.6,19.9,651.55,1.0
arsels,N,6,"['ar', 'sel', 's']",2,0.5,25.88,625.92,0.95
arsen,N,5,"['ar', 'sen']",1,0.6,20.49,670.26,0.95
arslag,N,6,"['ar', 'slag']",1,0.67,18.91,634.46,1.0
artij,N,5,"['art', 'ij']",1,0.6,20.39,627.33,1.0
artocht,N,7,"['art', 'ocht']",1,0.71,21.42,675.39,0.97
arvaar,N,6,"['ar', 'vaar']",1,0.67,20.49,626.5,0.97
arweg,N,5,"['ar', 'weg']",1,0.6,17.94,588.54,0.97
arwies,N,6,"['ar', 'wi', 'es']",2,0.5,29.22,579.36,0.97
arza,N,4,"['ar', 'za']",1,0.5,19.9,559.92,1.0
arzie,N,5,"['ar', 'zie']",1,0.6,21.19,584.33,1.0
asca's,N,6,"['as', 'ca', ""'s""]",2,0.5,30.92,614.11,1.0
asen,N,4,"['as', 'en']",1,0.5,17.3,730.21,0.92
asfonk,N,6,"['as', 'fo', 'nk']",2,0.5,30.82,635.74,0.97
asgaan,N,6,"['as', 'gaan']",1,0.67,20.04,619.61,1.0
asgroef,N,7,"['as', 'groe', 'f']",2,0.57,29.56,609.6,1.0
asha,N,4,"['a', 'sha']",1,0.5,19.1,640.43,0.95
ashaar,N,6,"['as', 'haar']",1,0.67,20.79,641.54,1.0
asho,N,4,"['as', 'ho']",1,0.5,19.84,548.46,1.0
askad,N,5,"['as', 'kad']",1,0.6,21.52,560.92,1.0
asker,N,5,"['as', 'ker']",1,0.6,21.45,708.97,0.97
askers,N,6,"['as', 'kers']",1,0.67,22.29,679.47,0.92
asleer,N,6,"['as', 'leer']",1,0.67,20.35,648.38,0.97
asmars,N,6,"['as', 'mars']",1,0.67,22.14,615.03,1.0
asnact,N,6,"['as', 'n', 'act']",2,0.5,28.19,615.62,1.0
asser,N,5,"['ass', 'er']",1,0.6,18.28,624.14,0.95
assiek,N,6,"['ass', 'iek']",1,0.67,21.87,660.19,1.0
asstel,N,6,"['as', 'stel']",1,0.67,20.62,677.92,1.0
astee,N,5,"['aste', 'e']",1,0.6,19.45,581.23,1.0
asts,N,4,"['as', 'ts']",1,0.5,20.22,626.1,1.0
asuun,N,5,"['a', 'su', 'un']",2,0.4,27.77,587.23,1.0
ate,N,3,['ate'],0,0.67,11.45,607.32,1.0
atel,N,4,"['a', 'tel']",1,0.5,17.79,597.62,0.97
atens,N,5,"['a', 'tens']",1,0.6,19.89,629.9,1.0
atert,N,5,"['at', 'ert']",1,0.6,21.55,631.41,1.0
atgal,N,5,"['at', 'gal']",1,0.6,21.3,554.08,0.97
aths,N,4,"['a', 'th', 's']",2,0.25,23.75,550.42,0.97
atkang,N,6,"['at', 'kan', 'g']",2,0.5,27.33,581.3,1.0
atrim,N,5,"['at', 'rim']",1,0.6,22.56,623.95,1.0
atroer,N,6,"['at', 'roer']",1,0.67,21.11,565.82,0.97
atroop,N,6,"['a', 'tro', 'op']",2,0.5,24.91,615.08,0.97
ats,N,3,"['at', 's']",1,0.33,16.92,620.79,0.97
atslond,N,7,"['at', 'slo', 'nd']",2,0.57,30.26,601.97,0.97
atter,N,5,"['a', 'tter']",1,0.6,19.42,636.42,0.97
atzas,N,5,"['at', 'za', 's']",2,0.4,26.56,589.55,1.0
aulaars,N,7,"['au', 'laar', 's']",2,0.57,27.84,604.59,1.0
auleer,N,6,"['au', 'leer']",1,0.67,20.31,644.97,0.97
aupurg,N,6,"['a', 'up', 'urg']",2,0.5,29.1,561.34,1.0
aurast,N,6,"['au', 'ra', 'st']",2,0.5,27.68,639.47,1.0
avels,N,5,"['av', 'els']",1,0.6,22.96,594.53,1.0
aven,N,4,"['av', 'en']",1,0.5,18.25,628.68,0.95
averst,N,6,"['a', 'ver', 'st']",2,0.5,22.0,668.36,0.97
avinst,N,6,"['av', 'inst']",1,0.67,23.1,576.36,1.0
ax,N,2,['ax'],0,0.5,13.24,586.0,0.92
azems,N,5,"['a', 'ze', 'ms']",2,0.4,28.37,630.13,0.97
azzes,N,5,"['az', 'zes']",1,0.6,22.29,567.69,1.0
ba's,N,4,"['ba', ""'s""]",1,0.5,21.08,649.29,1.0
baadgaard,N,9,"['baa', 'd', 'g', 'aard']",3,0.56,35.29,722.79,0.97
baadstronk,N,10,"['baa', 'd', 'stro', 'nk']",3,0.6,38.8,727.83,0.97
baadwerk,N,8,"['baa', 'd', 'werk']",2,0.62,26.29,710.69,1.0
baaf,N,4,"['ba', 'af']",1,0.5,17.78,689.67,0.87
baag,N,4,"['baa', 'g']",1,0.5,19.42,643.64,1.0
baagt,N,5,"['baa', 'gt']",1,0.6,23.94,633.84,1.0
baaiend,N,7,"['baa', 'i', 'end']",2,0.57,27.86,798.0,0.77
baakschap,N,9,"['baa', 'k', 'schap']",2,0.67,28.67,687.05,0.97
baam,N,4,"['baa', 'm']",1,0.5,19.31,693.72,0.95
baamde,N,6,"['baa', 'm', 'de']",2,0.5,26.96,721.7,0.82
baamgriep,N,9,"['baa', 'm', 'griep']",2,0.67,29.19,649.78,0.97
baap,N,4,"['baa', 'p']",1,0.5,19.26,586.18,0.97
baarsen,N,7,"['baar', 'sen']",1,0.71,20.46,775.04,0.69
baarsten,N,8,"['baar', 'sten']",1,0.75,20.4,825.97,0.95
baartlui,N,8,"['baar', 't', 'lui']",2,0.62,26.16,693.81,1.0
baastman,N,8,"['baas', 't', 'man']",2,0.62,27.63,708.47,1.0
baatmerg,N,8,"['baat', 'merg']",1,0.75,24.57,671.28,1.0
bab,N,3,['bab'],0,0.67,12.03,651.86,0.97
bacht,N,5,"['b', 'acht']",1,0.6,17.46,778.61,0.92
bachten,N,7,"['bach', 'ten']",1,0.71,20.72,712.97,0.92
bachter,N,7,"['b', 'achter']",1,0.71,16.92,658.0,0.95
bachtjes,N,8,"['bach', 'tjes']",1,0.75,21.64,674.62,1.0
bachtte,N,7,"['bach', 'tte']",1,0.71,23.43,731.11,0.9
bachtten,N,8,"['b', 'acht', 'ten']",2,0.62,26.15,720.91,0.92
bactris,N,7,"['bac', 'tri', 's']",2,0.57,28.89,652.13,1.0
badgad,N,6,"['bad', 'gad']",1,0.67,21.3,718.39,0.9
badhots,N,7,"['bad', 'hot', 's']",2,0.57,27.4,654.32,0.97
badsen,N,6,"['bad', 'sen']",1,0.67,20.72,666.84,1.0
badses,N,6,"['bad', 'se', 's']",2,0.5,24.92,611.56,1.0
badstaard,N,9,"['bad', 'st', 'aard']",2,0.67,26.94,855.54,0.82
badu,N,4,"['bad', 'u']",1,0.5,18.46,596.54,1.0
badwiep,N,7,"['bad', 'wi', 'ep']",2,0.57,30.15,665.15,1.0
baf,N,3,"['b', 'af']",1,0.33,15.88,724.12,0.82
bafdoe,N,6,"['b', 'af', 'doe']",2,0.5,25.43,607.59,1.0
bafel,N,5,"['ba', 'fel']",1,0.6,21.59,627.82,0.97
bafin,N,5,"['b', 'af', 'in']",2,0.4,22.51,615.26,1.0
bafjes,N,6,"['b', 'af', 'jes']",2,0.5,24.9,705.44,0.95
bafrand,N,7,"['b', 'af', 'rand']",2,0.57,25.34,605.49,0.97
baft,N,4,"['ba', 'ft']",1,0.5,21.22,705.6,0.92
bagden,N,6,"['ba', 'g', 'den']",2,0.5,27.17,632.7,1.0
bagen,N,5,"['ba', 'gen']",1,0.6,19.98,701.47,0.97
bagjus,N,6,"['ba', 'g', 'ju', 's']",3,0.33,34.6,617.44,1.0
bai,N,3,['bai'],0,0.67,12.39,601.59,1.0
baims,N,5,"['bai', 'ms']",1,0.6,23.45,588.55,0.97
bair,N,4,"['b', 'air']",1,0.5,18.53,662.2,0.92
bakhoed,N,7,"['bak', 'hoed']",1,0.71,20.48,713.82,0.87
bakke,N,5,"['bakk', 'e']",1,0.6,17.37,704.49,0.92
bakmuits,N,8,"['bak', 'mui', 'ts']",2,0.62,30.31,731.14,1.0
bakmuw,N,6,"['bak', 'm', 'uw']",2,0.5,27.89,598.55,1.0
bakstel,N,7,"['bak', 'stel']",1,0.71,19.78,701.67,0.72
bakstels,N,8,"['bak', 'stel', 's']",2,0.62,25.77,781.7,0.87
bakwerk,N,7,"['bak', 'werk']",1,0.71,17.54,736.31,0.38
baldet,N,6,"['bal', 'de', 't']",2,0.5,24.71,679.05,1.0
baldien,N,7,"['bal', 'dien']",1,0.71,20.44,638.61,1.0
baldin,N,6,"['bal', 'd', 'in']",2,0.5,24.0,671.79,1.0
balept,N,6,"['bal', 'ep', 't']",2,0.5,27.18,607.16,1.0
balfuwt,N,7,"['bal', 'fu', 'wt']",2,0.57,32.7,612.26,1.0
balgert,N,7,"['bal', 'ger', 't']",2,0.57,26.55,605.41,0.97
balget,N,6,"['bal', 'get']",1,0.67,20.6,626.26,1.0
balig,N,5,"['bal', 'ig']",1,0.6,19.24,774.77,0.82
balik,N,5,"['bal', 'ik']",1,0.6,19.85,566.5,0.97
balin,N,5,"['bal', 'in']",1,0.6,17.05,639.17,0.92
balla,N,5,"['ball', 'a']",1,0.6,18.28,645.71,1.0
balle,N,5,"['ball', 'e']",1,0.6,17.33,750.27,0.85
ballpicks,N,9,"['ball', 'pick', 's']",2,0.67,28.03,638.58,1.0
balme,N,5,"['bal', 'me']",1,0.6,18.85,602.21,0.97
balven,N,6,"['bal', 'ven']",1,0.67,20.21,589.95,1.0
bam,N,3,"['b', 'am']",1,0.33,17.96,698.37,0.74
bamaat,N,6,"['ba', 'maat']",1,0.67,20.53,611.84,1.0
bamdees,N,7,"['b', 'am', 'de', 'es']",3,0.43,35.03,605.42,1.0
bamen,N,5,"['ba', 'men']",1,0.6,20.05,685.11,0.97
bamier,N,6,"['ba', 'mier']",1,0.67,22.0,651.82,1.0
bammen,N,6,"['ba', 'mm', 'en']",2,0.5,26.92,696.47,0.95
bamp,N,4,"['b', 'amp']",1,0.5,19.59,564.46,1.0
bamser,N,6,"['ba', 'ms', 'er']",2,0.5,28.43,607.79,1.0
bamweg,N,6,"['b', 'am', 'weg']",2,0.5,25.65,618.3,0.95
banbons,N,7,"['ban', 'bon', 's']",2,0.57,27.32,704.68,0.97
bancon,N,6,"['ban', 'con']",1,0.67,20.37,771.68,0.72
bandins,N,7,"['band', 'ins']",1,0.71,21.05,636.87,1.0
baneer,N,6,"['ba', 'neer']",1,0.67,20.29,627.51,1.0
banjaar,N,7,"['ban', 'jaar']",1,0.71,20.17,648.57,0.9
bankeert,N,8,"['bank', 'eer', 't']",2,0.62,25.56,764.03,0.87
bankhaaf,N,8,"['bank', 'ha', 'af']",2,0.62,25.92,676.81,0.97
bankrein,N,8,"['bank', 're', 'in']",2,0.62,24.07,731.58,0.97
bannens,N,7,"['bann', 'ens']",1,0.71,21.41,642.94,0.95
bannons,N,7,"['bann', 'ons']",1,0.71,22.44,668.17,0.95
banon,N,5,"['ban', 'on']",1,0.6,18.31,734.71,0.79
bans,N,4,"['ban', 's']",1,0.5,17.49,717.22,0.97
banze,N,5,"['ban', 'ze']",1,0.6,20.32,593.79,1.0
bap,N,3,"['ba', 'p']",1,0.33,18.01,639.86,0.92
bapen,N,5,"['b', 'apen']",1,0.6,19.59,609.84,0.97
bapje,N,5,"['ba', 'p', 'je']",2,0.4,26.81,650.74,1.0
bapjes,N,6,"['ba', 'p', 'jes']",2,0.5,27.02,634.37,0.97
bappen,N,6,"['ba', 'ppen']",1,0.67,21.84,632.18,0.97
bapte,N,5,"['ba', 'p', 'te']",2,0.4,25.95,615.03,1.0
