,Unnamed: 0,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
29,29,aanschijk,N,9,"['aan', '##sch', '##ijk']",2,0.67
30,30,aanschuw,N,8,"['aan', '##sch', '##uw']",2,0.62
31,31,aanstaam,N,8,"['aan', '##st', '##aam']",2,0.62
32,32,aanveeldt,N,9,"['aan', '##ve', '##eld', '##t']",3,0.56
33,33,aanweer,N,7,"['aan', '##wee', '##r']",2,0.57
34,34,aanwid,N,6,"['aan', '##w', '##id']",2,0.5
35,35,aarbracht,N,9,"['a', '##ar', '##br', '##acht']",3,0.56
36,36,aarbrang,N,8,"['a', '##ar', '##br', '##ang']",3,0.5
37,37,aardgoo,N,7,"['a', '##ard', '##g', '##oo']",3,0.43
38,38,aardkil,N,7,"['a', '##ard', '##k', '##il']",3,0.43
39,39,aardraan,N,8,"['a', '##ard', '##ra', '##an']",3,0.5
40,40,aardsomst,N,9,"['a', '##ard', '##s', '##om', '##st']",4,0.44
41,41,aargrift,N,8,"['a', '##ar', '##g', '##r', '##i', '##ft']",5,0.25
42,42,aarhoop,N,7,"['a', '##ar', '##h', '##oop']",3,0.43
43,43,aarjang,N,7,"['a', '##ar', '##j', '##ang']",3,0.43
44,44,aarlang,N,7,"['a', '##ar', '##l', '##ang']",3,0.43
45,45,aarnert,N,7,"['a', '##ar', '##ne', '##r', '##t']",4,0.29
46,46,aarplag,N,7,"['a', '##ar', '##pl', '##ag']",3,0.43
47,47,aarriens,N,8,"['a', '##ar', '##r', '##ien', '##s']",4,0.38
48,48,aarschaans,N,10,"['a', '##ar', '##sch', '##aan', '##s']",4,0.5
49,49,aarschein,N,9,"['a', '##ar', '##sch', '##e', '##in']",4,0.44
50,50,aarsien,N,7,"['a', '##ar', '##s', '##ien']",3,0.43
51,51,aarst,N,5,"['a', '##ar', '##st']",2,0.4
52,52,aarstands,N,9,"['a', '##ar', '##st', '##and', '##s']",4,0.44
53,53,aartol,N,6,"['a', '##art', '##ol']",2,0.5
54,54,aarwel,N,6,"['a', '##ar', '##we', '##l']",3,0.33
55,55,aarwouw,N,7,"['a', '##ar', '##w', '##ouw']",3,0.43
56,56,aat,N,3,"['a', '##at']",1,0.33
57,57,aatslas,N,7,"['a', '##at', '##sl', '##as']",3,0.43
58,58,ab,N,2,"['a', '##b']",1,0.0
59,59,abant,N,5,"['a', '##b', '##ant']",2,0.4
60,60,abbes,N,5,"['a', '##b', '##be', '##s']",3,0.2
61,61,abdent,N,6,"['a', '##b', '##den', '##t']",3,0.33
62,62,abert,N,5,"['a', '##ber', '##t']",2,0.4
63,63,abras,N,5,"['a', '##br', '##as']",2,0.4
64,64,abree,N,5,"['a', '##br', '##ee']",2,0.4
65,65,absald,N,6,"['a', '##b', '##s', '##al', '##d']",4,0.17
66,66,absept,N,6,"['a', '##b', '##se', '##pt']",3,0.33
67,67,abstrelt,N,8,"['a', '##b', '##st', '##re', '##l', '##t']",5,0.25
68,68,abte,N,4,"['a', '##b', '##te']",2,0.25
69,69,achterds,N,8,"['achter', '##d', '##s']",2,0.62
70,70,achtjaan,N,8,"['a', '##cht', '##j', '##aan']",3,0.5
71,71,achts,N,5,"['a', '##cht', '##s']",2,0.4
72,72,acool,N,5,"['a', '##c', '##oo', '##l']",3,0.2
73,73,acteept,N,7,"['a', '##ct', '##ee', '##pt']",3,0.43
74,74,aden,N,4,"['a', '##den']",1,0.5
75,75,adgent,N,6,"['a', '##d', '##gen', '##t']",3,0.33
76,76,adhees,N,6,"['a', '##d', '##he', '##es']",3,0.33
77,77,adim,N,4,"['a', '##d', '##im']",2,0.25
78,78,adit,N,4,"['a', '##d', '##it']",2,0.25
79,79,adooi,N,5,"['a', '##d', '##oo', '##i']",3,0.2
80,80,adrak,N,5,"['a', '##d', '##ra', '##k']",3,0.2
81,81,adries,N,6,"['a', '##d', '##r', '##ies']",3,0.33
82,82,aduus,N,5,"['a', '##d', '##u', '##us']",3,0.2
83,83,adwel,N,5,"['a', '##d', '##we', '##l']",3,0.2
84,84,adzie,N,5,"['a', '##d', '##z', '##ie']",3,0.2
85,85,aeik,N,4,"['a', '##e', '##ik']",2,0.25
86,86,afbinst,N,7,"['af', '##b', '##in', '##st']",3,0.43
87,87,afbrenk,N,7,"['af', '##br', '##en', '##k']",3,0.43
88,88,afdrijk,N,7,"['af', '##d', '##rijk']",2,0.57
89,89,afdrook,N,7,"['af', '##d', '##ro', '##ok']",3,0.43
90,90,afes,N,4,"['af', '##es']",1,0.5
91,91,afgas,N,5,"['af', '##g', '##as']",2,0.4
92,92,afhoen,N,6,"['af', '##h', '##oen']",2,0.5
93,93,afhoer,N,6,"['af', '##h', '##oer']",2,0.5
94,94,afmoer,N,6,"['af', '##m', '##oer']",2,0.5
95,95,afmorst,N,7,"['af', '##m', '##or', '##st']",3,0.43
96,96,afschef,N,7,"['af', '##sch', '##e', '##f']",3,0.43
97,97,aftacht,N,7,"['af', '##t', '##acht']",2,0.57
98,98,aftad,N,5,"['af', '##t', '##ad']",2,0.4
99,99,aftijn,N,6,"['af', '##t', '##ijn']",2,0.5
100,100,afuun,N,5,"['af', '##u', '##un']",2,0.4
101,101,afwers,N,6,"['af', '##wer', '##s']",2,0.5
102,102,ag,N,2,"['a', '##g']",1,0.0
103,103,aghu,N,4,"['a', '##g', '##h', '##u']",3,0.0
104,104,aghu's,N,6,"['a', '##g', '##h', '##u', ""'"", 's']",5,0.0
105,105,agi,N,3,"['a', '##g', '##i']",2,0.0
106,106,ahs,N,3,"['a', '##h', '##s']",2,0.0
107,107,aillan,N,6,"['a', '##il', '##l', '##an']",3,0.33
108,108,ain,N,3,"['a', '##in']",1,0.33
109,109,ak,N,2,"['a', '##k']",1,0.0
110,110,ake,N,3,"['a', '##ke']",1,0.33
111,111,akhums,N,6,"['a', '##k', '##h', '##um', '##s']",4,0.17
112,112,akind,N,5,"['a', '##k', '##ind']",2,0.4
113,113,akkeeld,N,7,"['a', '##k', '##ke', '##eld']",3,0.43
114,114,akkent,N,6,"['a', '##kken', '##t']",2,0.5
115,115,akloop,N,6,"['a', '##k', '##l', '##oop']",3,0.33
116,116,akse,N,4,"['a', '##k', '##se']",2,0.25
117,117,akter,N,5,"['a', '##kt', '##er']",2,0.4
118,118,akwal,N,5,"['a', '##k', '##w', '##al']",3,0.2
119,119,alars,N,5,"['al', '##ar', '##s']",2,0.4
120,120,albecht,N,7,"['al', '##be', '##cht']",2,0.57
121,121,alde,N,4,"['al', '##de']",1,0.5
122,122,aldenkt,N,7,"['al', '##den', '##kt']",2,0.57
123,123,alders,N,6,"['al', '##ders']",1,0.67
124,124,aldes,N,5,"['al', '##de', '##s']",2,0.4
125,125,aleem,N,5,"['al', '##eem']",1,0.6
126,126,alerf,N,5,"['al', '##er', '##f']",2,0.4
127,127,alfaar,N,6,"['al', '##f', '##aar']",2,0.5
128,128,alfjaar,N,7,"['al', '##f', '##j', '##aar']",3,0.43
129,129,algang,N,6,"['al', '##g', '##ang']",2,0.5
130,130,algel,N,5,"['al', '##gel']",1,0.6
131,131,algoei,N,6,"['al', '##g', '##oe', '##i']",3,0.33
132,132,alhom,N,5,"['al', '##h', '##om']",2,0.4
133,133,almeid,N,6,"['al', '##me', '##id']",2,0.5
134,134,almes,N,5,"['al', '##me', '##s']",2,0.4
135,135,alteems,N,7,"['al', '##te', '##em', '##s']",3,0.43
136,136,altisch,N,7,"['al', '##t', '##isch']",2,0.57
137,137,alvang,N,6,"['al', '##van', '##g']",2,0.5
138,138,alve,N,4,"['al', '##ve']",1,0.5
139,139,alvier,N,6,"['al', '##v', '##ier']",2,0.5
140,140,ambtaan,N,7,"['a', '##m', '##b', '##t', '##aan']",4,0.29
141,141,ame,N,3,"['a', '##me']",1,0.33
142,142,amfer,N,5,"['a', '##m', '##f', '##er']",3,0.2
143,143,amliep,N,6,"['a', '##m', '##l', '##ie', '##p']",4,0.17
144,144,amme,N,4,"['a', '##m', '##me']",2,0.25
145,145,ammer,N,5,"['a', '##m', '##mer']",2,0.4
146,146,amnaan,N,6,"['a', '##m', '##n', '##aan']",3,0.33
147,147,amoen,N,5,"['a', '##m', '##oen']",2,0.4
148,148,ampkrag,N,7,"['a', '##mp', '##k', '##ra', '##g']",4,0.29
149,149,ampkrig,N,7,"['a', '##mp', '##k', '##r', '##ig']",4,0.29
150,150,amplaas,N,7,"['a', '##mp', '##l', '##aa', '##s']",4,0.29
151,151,ampland,N,7,"['a', '##mp', '##land']",2,0.57
152,152,amret,N,5,"['a', '##m', '##re', '##t']",3,0.2
153,153,ams,N,3,"['a', '##m', '##s']",2,0.0
154,154,amschaak,N,8,"['a', '##m', '##sch', '##aak']",3,0.5
155,155,amslaan,N,7,"['a', '##m', '##sl', '##aan']",3,0.43
156,156,amstuk,N,6,"['a', '##m', '##st', '##uk']",3,0.33
157,157,amtrand,N,7,"['a', '##m', '##tra', '##n', '##d']",4,0.29
158,158,amvocht,N,7,"['a', '##m', '##v', '##ocht']",3,0.43
159,159,anam,N,4,"['an', '##am']",1,0.5
160,160,anda,N,4,"['an', '##d', '##a']",2,0.25
161,161,andang,N,6,"['an', '##d', '##ang']",2,0.5
162,162,andicht,N,7,"['an', '##d', '##icht']",2,0.57
163,163,andooi,N,6,"['an', '##d', '##oo', '##i']",3,0.33
164,164,andos,N,5,"['an', '##d', '##os']",2,0.4
165,165,anen,N,4,"['an', '##en']",1,0.5
166,166,anghoord,N,8,"['an', '##g', '##h', '##oord']",3,0.5
167,167,anghoordt,N,9,"['an', '##g', '##h', '##oord', '##t']",4,0.44
168,168,angrans,N,7,"['an', '##g', '##ran', '##s']",3,0.43
169,169,angstzwaam,N,10,"['an', '##g', '##st', '##z', '##w', '##aam']",5,0.4
170,170,angszee,N,7,"['an', '##g', '##s', '##ze', '##e']",4,0.29
171,171,angt,N,4,"['an', '##gt']",1,0.5
172,172,annast,N,6,"['an', '##n', '##ast']",2,0.5
173,173,annue,N,5,"['an', '##n', '##u', '##e']",3,0.2
174,174,anpo,N,4,"['an', '##p', '##o']",2,0.25
175,175,anre,N,4,"['an', '##re']",1,0.5
176,176,anren,N,5,"['an', '##ren']",1,0.6
177,177,ansels,N,6,"['an', '##se', '##l', '##s']",3,0.33
178,178,antrog,N,6,"['an', '##t', '##ro', '##g']",3,0.33
179,179,antsteel,N,8,"['an', '##t', '##ste', '##el']",3,0.5
180,180,anveen,N,6,"['an', '##ve', '##en']",2,0.5
181,181,anver,N,5,"['an', '##ver']",1,0.6
182,182,anwaar,N,6,"['an', '##w', '##aar']",2,0.5
183,183,anwin,N,5,"['an', '##w', '##in']",2,0.4
184,184,anzecht,N,7,"['an', '##ze', '##cht']",2,0.57
185,185,anzert,N,6,"['an', '##ze', '##r', '##t']",3,0.33
186,186,anzucht,N,7,"['an', '##z', '##ucht']",2,0.57
187,187,ap,N,2,"['a', '##p']",1,0.0
188,188,apaan,N,5,"['a', '##p', '##aan']",2,0.4
189,189,apel,N,4,"['a', '##p', '##el']",2,0.25
190,190,apers,N,5,"['a', '##per', '##s']",2,0.4
191,191,apgels,N,6,"['a', '##p', '##gel', '##s']",3,0.33
192,192,apneet,N,6,"['a', '##p', '##ne', '##et']",3,0.33
193,193,apos,N,4,"['a', '##p', '##os']",2,0.25
194,194,appen,N,5,"['a', '##pp', '##en']",2,0.4
195,195,appes,N,5,"['a', '##pp', '##es']",2,0.4
196,196,appis,N,5,"['a', '##pp', '##is']",2,0.4
197,197,aps,N,3,"['a', '##p', '##s']",2,0.0
198,198,apteer,N,6,"['a', '##pt', '##eer']",2,0.5
199,199,aptiem,N,6,"['a', '##pt', '##ie', '##m']",3,0.33
200,200,ard,N,3,"['ar', '##d']",1,0.33
201,201,ardaak,N,6,"['ar', '##d', '##aak']",2,0.5
202,202,arder,N,5,"['ar', '##der']",1,0.6
203,203,ardeur,N,6,"['ar', '##de', '##ur']",2,0.5
204,204,ardog,N,5,"['ar', '##d', '##og']",2,0.4
205,205,arf,N,3,"['ar', '##f']",1,0.33
206,206,arkee,N,5,"['ar', '##ke', '##e']",2,0.4
207,207,arkweef,N,7,"['ar', '##k', '##wee', '##f']",3,0.43
208,208,armers,N,6,"['ar', '##mer', '##s']",2,0.5
209,209,arnast,N,6,"['ar', '##n', '##ast']",2,0.5
210,210,arnient,N,7,"['ar', '##n', '##ien', '##t']",3,0.43
211,211,arrijd,N,6,"['ar', '##rij', '##d']",2,0.5
212,212,arschrift,N,9,"['ar', '##sch', '##r', '##i', '##ft']",4,0.44
213,213,arschrikt,N,9,"['ar', '##sch', '##r', '##ik', '##t']",4,0.44
214,214,arsel,N,5,"['ar', '##se', '##l']",2,0.4
215,215,arsels,N,6,"['ar', '##se', '##l', '##s']",3,0.33
216,216,arsen,N,5,"['ar', '##sen']",1,0.6
217,217,arslag,N,6,"['ar', '##sl', '##ag']",2,0.5
218,218,artij,N,5,"['ar', '##t', '##ij']",2,0.4
219,219,artocht,N,7,"['ar', '##t', '##ocht']",2,0.57
220,220,arvaar,N,6,"['ar', '##v', '##aar']",2,0.5
221,221,arweg,N,5,"['ar', '##we', '##g']",2,0.4
222,222,arwies,N,6,"['ar', '##w', '##ies']",2,0.5
223,223,arza,N,4,"['ar', '##z', '##a']",2,0.25
224,224,arzie,N,5,"['ar', '##z', '##ie']",2,0.4
225,225,asca's,N,6,"['a', '##s', '##c', '##a', ""'"", 's']",5,0.0
226,226,asen,N,4,"['a', '##sen']",1,0.5
227,227,asfonk,N,6,"['a', '##s', '##f', '##on', '##k']",4,0.17
228,228,asgaan,N,6,"['a', '##s', '##g', '##aan']",3,0.33
229,229,asgroef,N,7,"['a', '##s', '##g', '##ro', '##e', '##f']",5,0.14
230,230,asha,N,4,"['a', '##s', '##h', '##a']",3,0.0
231,231,ashaar,N,6,"['a', '##s', '##h', '##aar']",3,0.33
232,232,asho,N,4,"['a', '##s', '##h', '##o']",3,0.0
233,233,askad,N,5,"['a', '##s', '##k', '##ad']",3,0.2
234,234,asker,N,5,"['a', '##s', '##ker']",2,0.4
235,235,askers,N,6,"['a', '##s', '##ker', '##s']",3,0.33
236,236,asleer,N,6,"['a', '##sl', '##eer']",2,0.5
237,237,asmars,N,6,"['a', '##s', '##ma', '##r', '##s']",4,0.17
238,238,asnact,N,6,"['a', '##s', '##n', '##ac', '##t']",4,0.17
239,239,asser,N,5,"['a', '##ss', '##er']",2,0.4
240,240,assiek,N,6,"['a', '##ss', '##iek']",2,0.5
241,241,asstel,N,6,"['a', '##ss', '##te', '##l']",3,0.33
242,242,astee,N,5,"['a', '##ste', '##e']",2,0.4
243,243,asts,N,4,"['a', '##st', '##s']",2,0.25
244,244,asuun,N,5,"['a', '##s', '##u', '##un']",3,0.2
245,245,ate,N,3,"['a', '##te']",1,0.33
246,246,atel,N,4,"['a', '##te', '##l']",2,0.25
247,247,atens,N,5,"['a', '##ten', '##s']",2,0.4
248,248,atert,N,5,"['a', '##ter', '##t']",2,0.4
249,249,atgal,N,5,"['a', '##t', '##g', '##al']",3,0.2
250,250,aths,N,4,"['a', '##t', '##h', '##s']",3,0.0
251,251,atkang,N,6,"['a', '##t', '##k', '##ang']",3,0.33
252,252,atrim,N,5,"['a', '##t', '##r', '##im']",3,0.2
253,253,atroer,N,6,"['a', '##t', '##ro', '##er']",3,0.33
254,254,atroop,N,6,"['a', '##t', '##ro', '##op']",3,0.33
255,255,ats,N,3,"['a', '##t', '##s']",2,0.0
256,256,atslond,N,7,"['a', '##t', '##sl', '##ond']",3,0.43
257,257,atter,N,5,"['a', '##t', '##ter']",2,0.4
258,258,atzas,N,5,"['a', '##t', '##z', '##as']",3,0.2
259,259,aulaars,N,7,"['a', '##ul', '##aar', '##s']",3,0.43
260,260,auleer,N,6,"['a', '##ul', '##eer']",2,0.5
261,261,aupurg,N,6,"['a', '##u', '##p', '##ur', '##g']",4,0.17
262,262,aurast,N,6,"['a', '##ur', '##ast']",2,0.5
263,263,avels,N,5,"['a', '##ve', '##l', '##s']",3,0.2
264,264,aven,N,4,"['a', '##ven']",1,0.5
265,265,averst,N,6,"['a', '##ver', '##st']",2,0.5
266,266,avinst,N,6,"['a', '##v', '##in', '##st']",3,0.33
267,267,ax,N,2,"['a', '##x']",1,0.0
268,268,azems,N,5,"['a', '##ze', '##m', '##s']",3,0.2
269,269,azzes,N,5,"['a', '##z', '##ze', '##s']",3,0.2
270,270,ba's,N,4,"['b', '##a', ""'"", 's']",3,0.0
271,271,baadgaard,N,9,"['b', '##aad', '##g', '##aar', '##d']",4,0.44
272,272,baadstronk,N,10,"['b', '##aad', '##st', '##ron', '##k']",4,0.5
273,273,baadwerk,N,8,"['b', '##aad', '##werk']",2,0.62
274,274,baaf,N,4,"['b', '##aa', '##f']",2,0.25
275,275,baag,N,4,"['b', '##aag']",1,0.5
276,276,baagt,N,5,"['b', '##aag', '##t']",2,0.4
277,277,baaiend,N,7,"['b', '##aa', '##ien', '##d']",3,0.43
278,278,baakschap,N,9,"['b', '##aak', '##schap']",2,0.67
279,279,baam,N,4,"['b', '##aam']",1,0.5
280,280,baamde,N,6,"['b', '##aam', '##de']",2,0.5
281,281,baamgriep,N,9,"['b', '##aam', '##g', '##r', '##ie', '##p']",5,0.33
282,282,baap,N,4,"['b', '##aa', '##p']",2,0.25
283,283,baarsen,N,7,"['b', '##aar', '##sen']",2,0.57
284,284,baarsten,N,8,"['b', '##aar', '##sten']",2,0.62
285,285,baartlui,N,8,"['b', '##aar', '##t', '##l', '##ui']",4,0.38
286,286,baastman,N,8,"['b', '##aa', '##st', '##man']",3,0.5
287,287,baatmerg,N,8,"['b', '##aat', '##mer', '##g']",3,0.5
288,288,bab,N,3,"['b', '##ab']",1,0.33
289,289,bacht,N,5,"['b', '##acht']",1,0.6
290,290,bachten,N,7,"['b', '##acht', '##en']",2,0.57
291,291,bachter,N,7,"['b', '##acht', '##er']",2,0.57
292,292,bachtjes,N,8,"['b', '##acht', '##jes']",2,0.62
293,293,bachtte,N,7,"['b', '##acht', '##te']",2,0.57
294,294,bachtten,N,8,"['b', '##acht', '##ten']",2,0.62
295,295,bactris,N,7,"['b', '##ac', '##t', '##r', '##is']",4,0.29
296,296,badgad,N,6,"['b', '##ad', '##g', '##ad']",3,0.33
297,297,badhots,N,7,"['b', '##ad', '##h', '##ot', '##s']",4,0.29
298,298,badsen,N,6,"['b', '##ad', '##sen']",2,0.5
299,299,badses,N,6,"['b', '##ad', '##se', '##s']",3,0.33
300,300,badstaard,N,9,"['b', '##ad', '##st', '##aar', '##d']",4,0.44
301,301,badu,N,4,"['b', '##ad', '##u']",2,0.25
302,302,badwiep,N,7,"['b', '##ad', '##w', '##ie', '##p']",4,0.29
303,303,baf,N,3,"['b', '##af']",1,0.33
304,304,bafdoe,N,6,"['b', '##af', '##d', '##oe']",3,0.33
305,305,bafel,N,5,"['b', '##af', '##el']",2,0.4
306,306,bafin,N,5,"['b', '##af', '##in']",2,0.4
307,307,bafjes,N,6,"['b', '##af', '##jes']",2,0.5
308,308,bafrand,N,7,"['b', '##af', '##ran', '##d']",3,0.43
309,309,baft,N,4,"['b', '##af', '##t']",2,0.25
310,310,bagden,N,6,"['b', '##ag', '##den']",2,0.5
311,311,bagen,N,5,"['b', '##agen']",1,0.6
312,312,bagjus,N,6,"['b', '##ag', '##j', '##us']",3,0.33
313,313,bai,N,3,"['b', '##a', '##i']",2,0.0
314,314,baims,N,5,"['b', '##a', '##im', '##s']",3,0.2
315,315,bair,N,4,"['b', '##a', '##ir']",2,0.25
316,316,bakhoed,N,7,"['b', '##ak', '##h', '##oed']",3,0.43
317,317,bakke,N,5,"['b', '##ak', '##ke']",2,0.4
318,318,bakmuits,N,8,"['b', '##ak', '##m', '##uit', '##s']",4,0.38
319,319,bakmuw,N,6,"['b', '##ak', '##m', '##uw']",3,0.33
320,320,bakstel,N,7,"['b', '##ak', '##ste', '##l']",3,0.43
321,321,bakstels,N,8,"['b', '##ak', '##ste', '##l', '##s']",4,0.38
322,322,bakwerk,N,7,"['b', '##ak', '##werk']",2,0.57
323,323,baldet,N,6,"['b', '##al', '##de', '##t']",3,0.33
324,324,baldien,N,7,"['b', '##al', '##d', '##ien']",3,0.43
325,325,baldin,N,6,"['b', '##al', '##d', '##in']",3,0.33
326,326,balept,N,6,"['b', '##ale', '##pt']",2,0.5
327,327,balfuwt,N,7,"['b', '##al', '##f', '##uw', '##t']",4,0.29
328,328,balgert,N,7,"['b', '##al', '##ger', '##t']",3,0.43
329,329,balget,N,6,"['b', '##al', '##ge', '##t']",3,0.33
330,330,balig,N,5,"['b', '##al', '##ig']",2,0.4
331,331,balik,N,5,"['b', '##al', '##ik']",2,0.4
332,332,balin,N,5,"['b', '##al', '##in']",2,0.4
333,333,balla,N,5,"['b', '##al', '##l', '##a']",3,0.2
334,334,balle,N,5,"['b', '##al', '##le']",2,0.4
335,335,ballpicks,N,9,"['b', '##al', '##l', '##p', '##ic', '##k', '##s']",6,0.22
336,336,balme,N,5,"['b', '##al', '##me']",2,0.4
337,337,balven,N,6,"['b', '##al', '##ven']",2,0.5
338,338,bam,N,3,"['b', '##am']",1,0.33
339,339,bamaat,N,6,"['b', '##am', '##aat']",2,0.5
340,340,bamdees,N,7,"['b', '##am', '##de', '##es']",3,0.43
341,341,bamen,N,5,"['b', '##amen']",1,0.6
342,342,bamier,N,6,"['b', '##am', '##ier']",2,0.5
343,343,bammen,N,6,"['b', '##am', '##men']",2,0.5
344,344,bamp,N,4,"['b', '##amp']",1,0.5
345,345,bamser,N,6,"['b', '##am', '##se', '##r']",3,0.33
346,346,bamweg,N,6,"['b', '##am', '##we', '##g']",3,0.33
347,347,banbons,N,7,"['b', '##an', '##b', '##on', '##s']",4,0.29
348,348,bancon,N,6,"['b', '##anc', '##on']",2,0.5
349,349,bandins,N,7,"['b', '##and', '##in', '##s']",3,0.43
350,350,baneer,N,6,"['b', '##an', '##eer']",2,0.5
351,351,banjaar,N,7,"['b', '##an', '##j', '##aar']",3,0.43
352,352,bankeert,N,8,"['b', '##ank', '##eert']",2,0.62
353,353,bankhaaf,N,8,"['b', '##ank', '##h', '##aa', '##f']",4,0.38
354,354,bankrein,N,8,"['b', '##ank', '##re', '##in']",3,0.5
355,355,bannens,N,7,"['b', '##an', '##nen', '##s']",3,0.43
356,356,bannons,N,7,"['b', '##an', '##n', '##on', '##s']",4,0.29
357,357,banon,N,5,"['b', '##an', '##on']",2,0.4
358,358,bans,N,4,"['b', '##an', '##s']",2,0.25
359,359,banze,N,5,"['b', '##an', '##ze']",2,0.4
360,360,bap,N,3,"['b', '##ap']",1,0.33
361,361,bapen,N,5,"['b', '##ap', '##en']",2,0.4
362,362,bapje,N,5,"['b', '##ap', '##je']",2,0.4
363,363,bapjes,N,6,"['b', '##ap', '##jes']",2,0.5
364,364,bappen,N,6,"['b', '##ap', '##pen']",2,0.5
365,365,bapte,N,5,"['b', '##ap', '##te']",2,0.4
366,366,bardjas,N,7,"['b', '##ard', '##j', '##as']",3,0.43
367,367,bargaart,N,8,"['b', '##ar', '##g', '##aar', '##t']",4,0.38
368,368,bargdall,N,8,"['b', '##ar', '##g', '##d', '##al', '##l']",5,0.25
369,369,barhoord,N,8,"['b', '##ar', '##h', '##oord']",3,0.5
370,370,barin,N,5,"['b', '##ar', '##in']",2,0.4
371,371,barkje,N,6,"['b', '##ar', '##k', '##je']",3,0.33
372,372,barkjes,N,7,"['b', '##ar', '##k', '##jes']",3,0.43
373,373,barmde,N,6,"['b', '##ar', '##m', '##de']",3,0.33
374,374,barsen,N,6,"['b', '##ar', '##sen']",2,0.5
375,375,barte,N,5,"['b', '##art', '##e']",2,0.4
376,376,barten,N,6,"['b', '##art', '##en']",2,0.5
377,377,bartjes,N,7,"['b', '##art', '##jes']",2,0.57
378,378,barts,N,5,"['b', '##art', '##s']",2,0.4
379,379,bartte,N,6,"['b', '##art', '##te']",2,0.5
380,380,bartten,N,7,"['b', '##art', '##ten']",2,0.57
381,381,barzier,N,7,"['b', '##ar', '##z', '##ier']",3,0.43
382,382,basbaal,N,7,"['b', '##as', '##b', '##aal']",3,0.43
383,383,baseft,N,6,"['b', '##as', '##e', '##ft']",3,0.33
384,384,basmes,N,6,"['b', '##as', '##me', '##s']",3,0.33
385,385,basoopt,N,7,"['b', '##as', '##oop', '##t']",3,0.43
386,386,bassat,N,6,"['b', '##ass', '##at']",2,0.5
387,387,bastet,N,6,"['b', '##ast', '##et']",2,0.5
388,388,bastoorns,N,9,"['b', '##ast', '##oor', '##n', '##s']",4,0.44
389,389,bastoots,N,8,"['b', '##ast', '##oot', '##s']",3,0.5
390,390,batak,N,5,"['b', '##at', '##ak']",2,0.4
391,391,batans,N,6,"['b', '##at', '##an', '##s']",3,0.33
392,392,bater,N,5,"['b', '##ater']",1,0.6
393,393,baters,N,6,"['b', '##ater', '##s']",2,0.5
394,394,batgrond,N,8,"['b', '##at', '##g', '##ron', '##d']",4,0.38
395,395,batje,N,5,"['b', '##at', '##je']",2,0.4
396,396,batpad,N,6,"['b', '##at', '##p', '##ad']",3,0.33
397,397,baven,N,5,"['b', '##av', '##en']",2,0.4
398,398,baver,N,5,"['b', '##av', '##er']",2,0.4
399,399,baxen,N,5,"['b', '##a', '##x', '##en']",3,0.2
400,400,bazeegd,N,7,"['b', '##a', '##ze', '##eg', '##d']",4,0.29
401,401,beaart,N,6,"['be', '##aar', '##t']",2,0.5
402,402,beaasd,N,6,"['be', '##aa', '##s', '##d']",3,0.33
403,403,beals,N,5,"['be', '##als']",1,0.6
404,404,bealy,N,5,"['be', '##al', '##y']",2,0.4
405,405,beb,N,3,"['be', '##b']",1,0.33
406,406,bebaaid,N,7,"['be', '##b', '##aa', '##id']",3,0.43
